CODIGO_DA_IES;NOME_DA_IES;SIGLA;CATEGORIA_DA_IES;COMUNITARIA;CONFESSIONAL;FILANTROPICA;ORGANIZACAO_ACADEMICA;CODIGO_MUNICIPIO_IBGE;MUNICIPIO;UF;SITUACAO_IES
2009;FACULDADE DE TAQUARITINGA - FTGA;FTGA;Privada;N;N;N;Faculdade;3553708.0;Taquaritinga;SP;Ativa
952;UNIVERSIDADE SANTA CECÍLIA - UNISANTA;UNISANTA;Privada;N;N;N;Universidade;3548500.0;Santos;SP;Ativa
18211;FACULDADE UNINASSAU CABO;;Privada;N;N;N;Faculdade;2602902.0;Cabo de Santo Agostinho;PE;Ativa
56;UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO - UNESP;UNESP;Pública;N;N;N;Universidade;3550308.0;São Paulo;SP;Ativa
5071;FACULDADE NORTE CAPIXABA DE SÃO MATEUS - FAMAT - FAMAT;FAMAT;Privada;N;N;N;Faculdade;3204906.0;São Mateus;ES;Extinta
14222;Faculdade Presidente Antônio Carlos de Senhora dos Remédios;;Privada;N;N;N;Faculdade;3166204.0;Senhora dos Remédios;MG;Extinta
1741;FACULDADE DE TECNOLOGIA INTERAMÉRICA - INTERAMERICA;INTERAMERICA;Privada;N;N;N;Faculdade;3550308.0;São Paulo;SP;Extinta
1028;UNIVERSIDADE ESTADUAL DE MATO GROSSO DO SUL - UEMS;UEMS;Pública;N;N;N;Universidade;5003702.0;Dourados;MS;Ativa
1774;Faculdade Anhanguera De Ponta Grossa;;Privada;N;N;N;Faculdade;4119905.0;Ponta Grossa;PR;Ativa
21672;Faculdade Cerrado - FACE;FACE;Privada;N;N;N;Faculdade;5300108.0;Brasília;DF;Ativa
24530;Faculdade da Polícia Militar de Santa Catarina - FAPOM;FAPOM;Pública;N;N;N;Faculdade;4205407.0;Florianópolis;SC;Ativa
3192;FACULDADE SÃO FRANCISCO DE CAJAZEIRAS - FSF;FSF;Privada;N;N;N;Faculdade;2503704.0;Cajazeiras;PB;Ativa
3797;CENTRO UNIVERSITÁRIO GUAIRACÁ - UNIGUAIRACÁ;UNIGUAIRACÁ;Privada;N;N;N;Centro Universitário;4109401.0;Guarapuava;PR;Ativa
587;UNIVERSIDADE FEDERAL RURAL DE PERNAMBUCO - UFRPE;UFRPE;Pública;N;N;N;Universidade;2611606.0;Recife;PE;Ativa
19327;Faculdade Cesar - FCE;FCE;Privada;N;N;N;Faculdade;2611606.0;Recife;PE;Ativa
1834;FACULDADE DE AGUDOS - FAAG;FAAG;Privada;N;N;N;Faculdade;3500709.0;Agudos;SP;Ativa
80;CENTRO UNIVERSITÁRIO PARA O DESENVOLVIMENTO DO ALTO VALE DO ITAJAÍ - UNIDAVI;UNIDAVI;Privada;S;N;N;Centro Universitário;4214805.0;Rio do Sul;SC;Ativa
2462;FACULDADE SÃO LUÍS - FSL;FSL;Privada;N;N;N;Faculdade;4202909.0;Brusque;SC;Ativa
1856;FACULDADE DO NORTE NOVO DE APUCARANA - FACNOPAR;FACNOPAR;Privada;N;N;N;Faculdade;4101408.0;Apucarana;PR;Ativa
1293;INSTITUTO DE ENSINO SUPERIOR DO OESTE PAULISTA - IESOP;IESOP;Privada;N;N;N;Faculdade;3505500.0;Barretos;SP;Extinta
13452;FACULDADE DE TECNOLOGIA FUNDAÇÃO UNIVERSITÁRIA DE CARDIOLOGIA;;Privada;N;N;N;Faculdade;4314902.0;Porto Alegre;RS;Extinta
4742;Faculdade Uninassau Olinda - Nassau Olinda;;Privada;N;N;N;Faculdade;2609600.0;Olinda;PE;Ativa
873;FACULDADES UNIFICADAS DE FOZ DO IGUAÇU - UNIFOZ;UNIFOZ;Privada;N;N;N;Faculdade;4108304.0;Foz do Iguaçu;PR;Ativa
23897;FACULDADE ANHANGUERA DE CARUARU;;Privada;N;N;N;Faculdade;2604106.0;Caruaru;PE;Ativa
2027;FACULDADE DE CAMPINA GRANDE - FAC-CG;FAC-CG;Privada;N;N;N;Faculdade;2504009.0;Campina Grande;PB;Ativa
2369;INSTITUTO DE ENSINO SUPERIOR SANTO ANTÔNIO - INESA;INESA;Privada;N;N;N;Faculdade;4209102.0;Joinville;SC;Ativa
